DATE,OPEN,HIGH,LOW,CLOSE,NO.OFSHARES,NO.OFTRADES
07-01-2022,490.00,495.45,483.85,490.45,1107610,22874
06-01-2022,482.50,492.80,477.25,488.90,842383,11134
05-01-2022,486.95,492.60,483.50,489.55,664939,10576
04-01-2022,496.95,497.85,484.05,489.45,1166045,18014
03-01-2022,492.25,500.80,492.25,497.45,1220655,21063
31-12-2021,472.25,483.45,472.25,482.35,510974,9207
30-12-2021,474.40,476.40,468.75,470.35,387791,7877
29-12-2021,479.50,481.50,474.35,475.80,414506,7485
28-12-2021,475.00,482.70,472.65,480.10,1167241,23417
27-12-2021,466.00,472.30,460.10,471.30,641654,8904
24-12-2021,475.00,475.00,460.00,467.55,1537138,24248
23-12-2021,476.45,478.10,471.00,472.35,1504426,22516
22-12-2021,458.95,471.90,458.55,470.50,1553516,15622
21-12-2021,451.90,460.90,450.05,453.55,1395623,30863
20-12-2021,460.00,460.05,440.00,447.15,1891091,32096
17-12-2021,488.40,488.70,468.40,470.00,2420490,57626
16-12-2021,495.80,496.05,487.55,491.95,971345,10365
15-12-2021,487.30,497.75,487.30,491.50,1555695,22310
14-12-2021,492.00,492.00,483.35,489.50,924787,11661
13-12-2021,499.90,506.30,494.25,495.25,800150,12333
10-12-2021,488.90,497.05,486.15,494.35,803654,9184
09-12-2021,498.00,498.90,489.60,493.80,686790,11127
08-12-2021,484.95,495.85,483.60,493.75,1772955,31929
07-12-2021,476.40,484.95,471.05,481.90,1706128,30188
06-12-2021,482.40,482.40,465.95,467.30,1014419,14785
03-12-2021,479.15,484.90,477.40,480.00,1120592,14039
02-12-2021,479.85,480.20,471.75,479.00,1538594,29500
01-12-2021,468.00,478.50,463.70,475.35,2028162,41929
30-11-2021,465.55,478.00,455.80,458.80,1287893,21020
29-11-2021,454.20,470.35,442.90,461.25,4104330,84997
26-11-2021,485.05,486.95,458.00,460.25,4111286,134332
25-11-2021,491.10,495.00,486.35,492.75,1112012,27386
24-11-2021,499.65,502.00,485.80,488.70,847176,15664
23-11-2021,485.00,499.20,476.80,495.40,1911753,42354
22-11-2021,511.20,512.15,478.50,486.15,3027500,90270
18-11-2021,532.00,534.35,501.35,509.90,3714327,73084
17-11-2021,521.70,536.50,520.05,530.30,2141051,30392
16-11-2021,507.20,526.85,506.70,518.80,2415265,31346
15-11-2021,507.00,514.75,504.30,505.35,746386,12783
12-11-2021,507.00,509.80,497.50,507.00,816526,14047
11-11-2021,511.30,519.00,501.05,503.25,1816299,38204
10-11-2021,507.75,515.90,500.05,510.80,1864729,41190
09-11-2021,503.20,520.50,503.20,509.75,3932791,71930
